,Date,Open,High,Low,Close,Adj Close,Volume
1452,"Mar 27, 2015",52.04,52.04,52.04,52.04,46.69,-
1453,"Mar 26, 2015",51.87,51.87,51.87,51.87,46.54,-
1454,"Mar 25, 2015",51.98,51.98,51.98,51.98,46.64,-
1455,"Mar 24, 2015",52.79,52.79,52.79,52.79,47.37,-
1456,"Mar 23, 2015",53.33,53.33,53.33,53.33,47.63,-
1457,"Mar 20, 2015",53.43,53.43,53.43,53.43,47.72,-
1458,"Mar 19, 2015",52.96,52.96,52.96,52.96,47.30,-
1459,"Mar 18, 2015",53.17,53.17,53.17,53.17,47.49,-
1460,"Mar 17, 2015",52.55,52.55,52.55,52.55,46.93,-
1461,"Mar 16, 2015",52.67,52.67,52.67,52.67,47.04,-
1462,"Mar 13, 2015",52.01,52.01,52.01,52.01,46.45,-
1463,"Mar 12, 2015",52.31,52.31,52.31,52.31,46.72,-
1464,"Mar 11, 2015",51.64,51.64,51.64,51.64,46.12,-
1465,"Mar 10, 2015",51.66,51.66,51.66,51.66,46.14,-
1466,"Mar 09, 2015",52.50,52.50,52.50,52.50,46.89,-
1467,"Mar 06, 2015",52.30,52.30,52.30,52.30,46.71,-
1468,"Mar 05, 2015",53.03,53.03,53.03,53.03,47.36,-
1469,"Mar 04, 2015",52.95,52.95,52.95,52.95,47.29,-
1470,"Mar 03, 2015",53.17,53.17,53.17,53.17,47.49,-
1471,"Mar 02, 2015",53.40,53.40,53.40,53.40,47.69,-
1472,"Feb 27, 2015",53.06,53.06,53.06,53.06,47.39,-
1473,"Feb 26, 2015",53.24,53.24,53.24,53.24,47.55,-
1474,"Feb 25, 2015",53.30,53.30,53.30,53.30,47.60,-
1475,"Feb 24, 2015",53.30,53.30,53.30,53.30,47.60,-
1476,"Feb 23, 2015",53.18,53.18,53.18,53.18,47.49,-
1477,"Feb 20, 2015",53.20,53.20,53.20,53.20,47.51,-
1478,"Feb 19, 2015",52.87,52.87,52.87,52.87,47.22,-
